owner_id,owner_name,province
OWN100,Tran Thi B,TP.HCM
OWN101,Tran Thi B,Đà Nẵng
OWN102,Pham Thi D,TP.HCM
OWN103,Nguyen Van A,Hà Nội
OWN104,Le Van C,Hà Nội
OWN105,Pham Thi D,Đà Nẵng
OWN106,Tran Thi B,Đà Nẵng
OWN107,Nguyen Van A,Hà Nội
OWN108,Le Van C,Đà Nẵng
OWN109,Le Van C,Đà Nẵng
OWN110,Tran Thi B,Bình Dương
OWN111,Hoang Van E,TP.HCM
OWN112,Le Van C,Bình Dương
OWN113,Le Van C,Hà Nội
OWN114,Tran Thi B,Hà Nội
OWN115,Nguyen Van A,TP.HCM
OWN116,Pham Thi D,Bình Dương
OWN117,Nguyen Van A,Đà Nẵng
OWN118,Pham Thi D,Bình Dương
OWN119,Le Van C,Đà Nẵng
OWN120,Le Van C,Đà Nẵng
OWN121,Nguyen Van A,Bình Dương
OWN122,Nguyen Van A,TP.HCM
OWN123,Pham Thi D,Đà Nẵng
OWN124,Tran Thi B,Đà Nẵng
OWN125,Tran Thi B,Hà Nội
OWN126,Pham Thi D,Bình Dương
OWN127,Le Van C,Bình Dương
OWN128,Pham Thi D,Bình Dương
OWN129,Le Van C,Đà Nẵng
OWN130,Le Van C,Hà Nội
OWN131,Tran Thi B,TP.HCM
OWN132,Nguyen Van A,Hà Nội
OWN133,Tran Thi B,TP.HCM
OWN134,Le Van C,Đà Nẵng
OWN135,Pham Thi D,Đà Nẵng
OWN136,Hoang Van E,Bình Dương
OWN137,Hoang Van E,Bình Dương
OWN138,Le Van C,TP.HCM
OWN139,Le Van C,TP.HCM
OWN140,Le Van C,Hà Nội
OWN141,Le Van C,Hà Nội
OWN142,Pham Thi D,Đà Nẵng
OWN143,Tran Thi B,Hà Nội
OWN144,Tran Thi B,Bình Dương
OWN145,Nguyen Van A,Đà Nẵng
OWN146,Tran Thi B,Hà Nội
OWN147,Tran Thi B,TP.HCM
OWN148,Pham Thi D,Bình Dương
OWN149,Pham Thi D,Bình Dương
OWN150,Pham Thi D,Hà Nội
OWN151,Nguyen Van A,Đà Nẵng
OWN152,Pham Thi D,TP.HCM
OWN153,Pham Thi D,Hà Nội
OWN154,Pham Thi D,Hà Nội
OWN155,Pham Thi D,Bình Dương
OWN156,Nguyen Van A,Hà Nội
OWN157,Nguyen Van A,Bình Dương
OWN158,Tran Thi B,Đà Nẵng
OWN159,Nguyen Van A,TP.HCM
